ID,ProviderId,nameZh,ddesc,departureZh,destinationZh,gxcode,RouteType,MasterRouteName,MasterRouteNo,MasterRouteDesc,routeMapImageUrl,stopAddrUrl,op_type
57060,1,L706,環西乙線,桃客大溪站,桃客大溪站,57060,免費巴士,,,大溪,http://ebus.tycg.gov.tw/cms/api/route/57060/map/1887/image,http://ebus.tycg.gov.tw/cms/api/route/57060/stop-address.pdf,2
57120,1,L712,河東線假日2,桃客大溪站,桃客大溪站,57120,免費巴士,,,大溪,http://ebus.tycg.gov.tw/cms/api/route/57120/map/1888/image,http://ebus.tycg.gov.tw/cms/api/route/57120/stop-address.pdf,2
36510,1,L716,龍潭科學園區線,龍潭區衛生所,龍潭科學園區,36510,免費巴士,,,龍潭,http://ebus.tycg.gov.tw/cms/api/route/36510/map/491/image,http://ebus.tycg.gov.tw/cms/api/route/36510/stop-address.pdf,2
36510,24,L716,龍潭科學園區線,龍潭區衛生所,龍潭科學園區,36510,免費巴士,,,龍潭,http://ebus.tycg.gov.tw/cms/api/route/36510/map/491/image,http://ebus.tycg.gov.tw/cms/api/route/36510/stop-address.pdf,2
36520,1,L717,水仙社區甲線,南天宮,水仙社區,36520,免費巴士,,,龍潭,http://ebus.tycg.gov.tw/cms/api/route/36520/map/1764/image,http://ebus.tycg.gov.tw/cms/api/route/36520/stop-address.pdf,2
36520,24,L717,水仙社區甲線,南天宮,水仙社區,36520,免費巴士,,,龍潭,http://ebus.tycg.gov.tw/cms/api/route/36520/map/1764/image,http://ebus.tycg.gov.tw/cms/api/route/36520/stop-address.pdf,2
36530,1,L718,水仙社區乙線,南天宮,水仙社區,36530,免費巴士,,,龍潭,http://ebus.tycg.gov.tw/cms/api/route/36530/map/1765/image,http://ebus.tycg.gov.tw/cms/api/route/36530/stop-address.pdf,2
36530,24,L718,水仙社區乙線,南天宮,水仙社區,36530,免費巴士,,,龍潭,http://ebus.tycg.gov.tw/cms/api/route/36530/map/1765/image,http://ebus.tycg.gov.tw/cms/api/route/36530/stop-address.pdf,2
57210,1,L721,中興黃唐甲線,龍潭區公所,龍潭區公所,57210,免費巴士,,,龍潭,http://ebus.tycg.gov.tw/cms/api/route/57210/map/581/image,http://ebus.tycg.gov.tw/cms/api/route/57210/stop-address.pdf,2
57210,24,L721,中興黃唐甲線,龍潭區公所,龍潭區公所,57210,免費巴士,,,龍潭,http://ebus.tycg.gov.tw/cms/api/route/57210/map/581/image,http://ebus.tycg.gov.tw/cms/api/route/57210/stop-address.pdf,2
57220,1,L722,中興黃唐乙線,龍潭區公所,龍潭區公所,57220,免費巴士,,,龍潭,http://ebus.tycg.gov.tw/cms/api/route/57220/map/582/image,http://ebus.tycg.gov.tw/cms/api/route/57220/stop-address.pdf,2
57220,24,L722,中興黃唐乙線,龍潭區公所,龍潭區公所,57220,免費巴士,,,龍潭,http://ebus.tycg.gov.tw/cms/api/route/57220/map/582/image,http://ebus.tycg.gov.tw/cms/api/route/57220/stop-address.pdf,2
57230,1,L723,烏樹林龍祥甲線,龍潭區公所,龍潭區公所,57230,免費巴士,,,龍潭,http://ebus.tycg.gov.tw/cms/api/route/57230/map/583/image,http://ebus.tycg.gov.tw/cms/api/route/57230/stop-address.pdf,2
57230,24,L723,烏樹林龍祥甲線,龍潭區公所,龍潭區公所,57230,免費巴士,,,龍潭,http://ebus.tycg.gov.tw/cms/api/route/57230/map/583/image,http://ebus.tycg.gov.tw/cms/api/route/57230/stop-address.pdf,2
57250,1,L725,烏樹林龍祥乙線,龍潭區公所,龍潭區公所,57250,免費巴士,,,龍潭,http://ebus.tycg.gov.tw/cms/api/route/57250/map/584/image,http://ebus.tycg.gov.tw/cms/api/route/57250/stop-address.pdf,2
57250,24,L725,烏樹林龍祥乙線,龍潭區公所,龍潭區公所,57250,免費巴士,,,龍潭,http://ebus.tycg.gov.tw/cms/api/route/57250/map/584/image,http://ebus.tycg.gov.tw/cms/api/route/57250/stop-address.pdf,2
57270,1,L727,高原甲線,龍潭區公所,法蘭朵社區,57270,免費巴士,,,龍潭,http://ebus.tycg.gov.tw/cms/api/route/57270/map/1690/image,http://ebus.tycg.gov.tw/cms/api/route/57270/stop-address.pdf,2
57270,24,L727,高原甲線,龍潭區公所,法蘭朵社區,57270,免費巴士,,,龍潭,http://ebus.tycg.gov.tw/cms/api/route/57270/map/1690/image,http://ebus.tycg.gov.tw/cms/api/route/57270/stop-address.pdf,2
57280,1,L728,高原乙線,龍潭區公所,法蘭朵社區,57280,免費巴士,,,龍潭,http://ebus.tycg.gov.tw/cms/api/route/57280/map/587/image,http://ebus.tycg.gov.tw/cms/api/route/57280/stop-address.pdf,2
57280,24,L728,高原乙線,龍潭區公所,法蘭朵社區,57280,免費巴士,,,龍潭,http://ebus.tycg.gov.tw/cms/api/route/57280/map/587/image,http://ebus.tycg.gov.tw/cms/api/route/57280/stop-address.pdf,2
9010,1,F901,復興  -  市界,復興,市界,9010,RTY,,,RG,http://ebus.tycg.gov.tw/cms/api/route/9010/map/2124/image,http://ebus.tycg.gov.tw/cms/api/route/9010/stop-address.pdf,10
9018,1,F901A,復興  -  市界(不繞嘎色鬧),復興,市界,9010,RTY,,,RG,http://ebus.tycg.gov.tw/cms/api/route/9018/map/2125/image,http://ebus.tycg.gov.tw/cms/api/route/9018/stop-address.pdf,10
